"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_90","  4","ITS_3","Ceratobasidium sp. FO 38200"," 386466",40530408.124845,"17714710"," 90859731","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","386466","386466","5251","5250","36064","155619","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_91","112","ITS_2","Saitozyma ninhbinhensis"," 388101",28684680.4728591,"25082108"," 42680366","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","388101","388101","1890244","1890237","5234","155616","5204","33154","2759","1",NA,NA,"5302","451864","4751",NA,NA
"query_92"," 81","ITS_2","Linnemannia elongata"," 310910",48100048,"25294048"," 63970531","OK","reference_mean","310910","310910","2779861","4854","214503","2212732","1913637","33154","2759","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_93"," 68","ITS_2","Cladosporium","   5498",28684680.4728591,"21673989"," 41216506","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","5498",NA,"5498","452563","2726946","147541","4890","33154","2759","1","451867",NA,"147538","451864","4751",NA,NA
"query_94"," 37","ITS_2","Fusarium oxysporum","   5507",52804881.8126685,"25524968"," 84227140","OK","reference_mean","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751","171631",NA
"query_95"," 31","ITS_2","Chaetomiaceae sp.","1756124",33203373.6149319,"26338749"," 49442945","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1756124","1756124",NA,"35718","5139","147550","4890","33154","2759","1","222544",NA,"147538","451864","4751",NA,NA
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34210709.9925596,"24112873"," 46878635","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","1367421","1367421","40354","43219","34395","147545","4890","33154","2759","1","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",50718897.91056,"51556386","135569160","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","29855","29855","5133","110618","5125","147550","4890","33154","2759","1","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",36115625.125,"21112368"," 53898169","OK","reference_mean","749633","749633","55170","683158","92860","147541","4890","33154","2759","1","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",28684680.4728591,"22877330"," 42849858","Confidence interval to estimated size ratio > ci_threshold","lmm|family/genus","34454","34454","34453","80649","5338","155619","5204","33154","2759","1","452333","2982305","5302","451864","4751",NA,NA
