"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","estimated_genome_size_confidence_interval","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","clade","superkingdom","no rank","subphylum","suborder","subclass","subkingdom","kingdom","species group","section","confidence_interval_lower","confidence_interval_upper"
"query...56"," 13","16S_1","Spirochaeta sp.","  28185",3283983.94524402,"1244870.9;7456147","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","28185","28185","146","137","136","203692","203691",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1244870.9","  7456147"
"query...57"," 12","16S_1","unclassified Telmatobacter","2634852",6268877.36246068,"3745543.7;11616314","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2634852",NA,"1078829","204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3745543.7"," 11616314"
"query...58"," 12","16S_1","Acidobacteriaceae bacterium LWQ3","1387378",6268877.36246068,"3492105.1;11314566","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1387378","1387378",NA,"204434","204433","204432","57723",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 3492105.1"," 11314566"
"query...59","  9","16S_1","Rhodoplanes","  29407",3719098.3795548,"1550695.8;7643380","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29407",NA,"29407","45401","356","28211","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1550695.8","  7643380"
"query...60","  9","16S_1","Solimicrobium silvestre","2099400",5243257,NA,"OK","reference_mean","2099400","2099400","2249306","75682","80840","28216","1224",NA,"2","1",NA,NA,NA,NA,NA,NA,NA," 1506493.2","  7895682"
"query...61"," 76","ITS_3","Psathyrella marquana","2259056",6268877.36246068,"3175780.2;10999283","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2259056","2259056","71729","184208","5338","155619","5204","33154","2759","1","5302",NA,"452333","451864","4751",NA,NA," 3175780.2"," 10999283"
"query...62"," 27","ITS_3","Saitozyma ninhbinhensis"," 388101",36973637.2840197,"13276572.4;91497711","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","388101","388101","1890244","1890237","5234","155616","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"13276572.4"," 91497711"
"query...63"," 21","ITS_3","Mucor hiemalis","  64493",36054771.7341803,"14187584.9;86615803","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","64493","64493","4830","34489","4827","2212703","1913637","33154","2759","1","451507","1344963",NA,NA,"4751",NA,NA,"14187584.9"," 86615803"
"query...64"," 19","ITS_3","Apiotrichum dulcitum","  82515",26450294.9151486,"11649182.6;72866187","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","82515","82515","105983","1759442","1851469","155616","5204","33154","2759","1","5302",NA,NA,"451864","4751",NA,NA,"11649182.6"," 72866187"
"query...65"," 18","ITS_3","Hebeloma crustuliniforme","  34454",35489637.3741852,"12171573.9;88569706","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","34454","34454","34453","80649","5338","155619","5204","33154","2759","1","5302",NA,"452333","451864","4751",NA,NA,"12171573.9"," 88569706"
"query...66"," 13","ITS_3","Didymellaceae"," 683158",6268877.36246068,"3407001.9;13404710","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","683158",NA,NA,"683158","92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,NA," 3407001.9"," 13404710"
"query...67"," 12","ITS_3","Cladosporium","   5498",31177999.5121438,"13712613;76071651","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5498",NA,"5498","452563","2726946","147541","4890","33154","2759","1","147538",NA,"451867","451864","4751",NA,NA,"13712613.0"," 76071651"
"query...68"," 11","ITS_3","Fusarium oxysporum","   5507",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","5507","5507","5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","171631",NA,"24538521.3","101305977"
"query...69"," 11","ITS_3","Ascobolus stercorarius"," 255055",58276412.4528162,"20790318.6;147811284","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","255055","255055","5190","5189","5185","147549","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA,"20790318.6","147811284"
"query...70"," 10","ITS_3","Chaetomiaceae sp.","1756124",6268877.36246068,"3551995.2;11380371","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1756124","1756124",NA,"35718","5139","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA," 3551995.2"," 11380371"
"query...71"," 10","ITS_3","Lectera colletotrichoides","1208925",6268877.36246068,"3644980.3;10502299","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1208925","1208925","1208924","1033978","1028384","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA," 3644980.3"," 10502299"
"query...72","  9","ITS_3","Mucor sp.","1715236",36054771.7341803,"14187584.9;86615803","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1715236","1715236","4830","34489","4827","2212703","1913637","33154","2759","1","451507","1344963",NA,NA,"4751",NA,NA,"14187584.9"," 86615803"
"query...73","  9","ITS_3","Fusarium tricinctum species complex"," 679429",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","679429",NA,"5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","679429",NA,"24538521.3","101305977"
"query...74","  9","ITS_3","Linnemannia elongata"," 310910",46697125.9463647,"18641474.2;119103642","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","310910","310910","2779861","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"18641474.2","119103642"
"query...75","  8","ITS_3","Trichoderma sp.","1715253",36186363.9348215,"15252012.6;84727885","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1715253","1715253","5543","5129","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"15252012.6"," 84727885"
"query...76","  8","ITS_3","Gaeumannomyces","  29849",44226003.1230846,"17793369.9;126790007","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","29849",NA,"29849","81093","639021","147550","4890","33154","2759","1","147538",NA,"222544","451864","4751",NA,NA,"17793369.9","126790007"
"query...77","  7","ITS_3","Mortierella sp.","1715235",41538680.9534316,"17722519.4;101017769","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1715235","1715235","4855","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"17722519.4","101017769"
"query...78","  7","ITS_3","Entomortierella beljakovae"," 979673",37496228.1113559,"17588721;76290905","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","979673","979673","2779859","4854","214503","2212732","1913637","33154","2759","1","1137986",NA,NA,NA,"4751",NA,NA,"17588721.0"," 76290905"
"query...79","  7","ITS_3","Hypomyces samuelsii"," 767784",40968217.7872748,"15911265.3;109318847","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","767784","767784","5130","5129","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751",NA,NA,"15911265.3","109318847"
"query...80","  6","ITS_3","Fusarium proliferatum"," 948311",44296347.7047846,"24538521.3;101305977","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","948311","948311","5506","110618","5125","147550","4890","33154","2759","1","147538",NA,"222543","451864","4751","171627",NA,"24538521.3","101305977"
"query...81","  6","ITS_3","Allophylaria subliciformis","2478803",6268877.36246068,"3457379.4;11717529","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","2478803","2478803","2478802","2488219","5178","147548","4890","33154","2759","1","147538",NA,NA,"451864","4751",NA,NA," 3457379.4"," 11717529"
"query...82","  5","ITS_3","Alternaria sp.","1715220",35511671.2589456,"13954612.5;78331390","Confidence interval to estimated size ratio > ci_threshold","hierarchical|genus/family","1715220","1715220","5598","28556","92860","147541","4890","33154","2759","1","147538","715340","451868","451864","4751",NA,NA,"13954612.5"," 78331390"
