"","COUNT","SAMPLE","SCIENTIFIC_NAME","TAXID","estimated_genome_size","confidence_interval_lower","confidence_interval_upper","genome_size_estimation_status","model_used","LCA","species","genus","family","order","class","phylum","superkingdom","clade","no rank","subclass","suborder","subphylum","subkingdom","kingdom","species group","section"
"query_89","  4","ITS_3","Fusarium tricinctum","  61284",45311862.2704018,36692174.6637937,55773379.9745523,"OK","bayesian Eukaryota","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
"query_90","  4","ITS_3","Ceratobasidium sp. FO 38200"," 386466",51162517.3566674,27224468.6527709,82863064.1800027,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","386466","386466","5251","5250","36064","155619","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_91","112","ITS_2","Saitozyma ninhbinhensis"," 388101",22810154.6213487,10859130.7224168,43564052.6338986,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","388101","388101","1890244","1890237","5234","155616","5204","2759","33154","1",NA,NA,"5302","451864","4751",NA,NA
"query_92"," 81","ITS_2","Linnemannia elongata"," 310910",42297040.4772268,23828393.4984264,71401180.0658439,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","310910","310910","2779861","4854","214503","2212732","1913637","2759","33154","1",NA,NA,"1137986",NA,"4751",NA,NA
"query_93"," 68","ITS_2","Cladosporium","   5498",38235343.2122191,12418083.8162515,98139522.2565459,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","5498",NA,"5498","452563","2726946","147541","4890","2759","33154","1","451867",NA,"147538","451864","4751",NA,NA
"query_94"," 37","ITS_2","Fusarium oxysporum","   5507",45320866.1627943,36752773.1167237,55782275.6175068,"OK","bayesian Eukaryota","5507","5507","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","171631",NA
"query_95"," 31","ITS_2","Chaetomiaceae sp.","1756124",34600367.7266045,22238338.8501354,52347799.8779545,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","1756124","1756124",NA,"35718","5139","147550","4890","2759","33154","1","222544",NA,"147538","451864","4751",NA,NA
"query_96"," 29","ITS_2","Fonsecaea minima","1367421",34319083.3098816,27203082.0552439,42480259.0827576,"OK","bayesian Eukaryota","1367421","1367421","40354","43219","34395","147545","4890","2759","33154","1","451870",NA,"147538","451864","4751",NA,NA
"query_97"," 27","ITS_2","Nectria cinnabarina","  29855",49379269.7324979,29757345.3645742,76406271.3146722,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","29855","29855","5133","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751",NA,NA
"query_98"," 25","ITS_2","Didymella pinodella"," 749633",34484147.6237799,25961153.8458362,44957379.1860229,"OK","bayesian Eukaryota","749633","749633","55170","683158","92860","147541","4890","2759","33154","1","451868","715340","147538","451864","4751",NA,NA
"query_99"," 23","ITS_2","Hebeloma crustuliniforme","  34454",48102884.8126864,23439387.3389942,87619830.8572208,"Confidence interval to estimated size ratio > ci_threshold","bayesian Eukaryota","34454","34454","34453","80649","5338","155619","5204","2759","33154","1","452333","2982305","5302","451864","4751",NA,NA
"query_100"," 19","ITS_2","Fusarium tricinctum","  61284",45855114.3059427,37301770.5092131,55829374.8721507,"OK","bayesian Eukaryota","61284","61284","5506","110618","5125","147550","4890","2759","33154","1","222543",NA,"147538","451864","4751","679429",NA
